--------------------   Cyclic Coordinate   --------------------

+-----+------------------------+---+---------+------------------------+-----------+------------------------+
|  k  |         x f(x)         | j |    d    |          y(j)          |   landa   |         y(j+1)         |
|  62 |       -27.434875       | 2 | (0 , 1) | (6.574530 , 33.670274) | -0.004029 | (6.574530 , 33.666245) |
|  63 | (6.574530 , 33.666245) | 1 | (1 , 0) | (6.574530 , 33.666245) | -0.000807 | (6.573723 , 33.666245) |
|  63 |       -27.434996       | 2 | (0 , 1) | (6.573723 , 33.666245) | -0.004029 | (6.573723 , 33.662215) |
|  64 | (6.573723 , 33.662215) | 1 | (1 , 0) | (6.573723 , 33.662215) | -0.000807 | (6.572915 , 33.662215) |
|  64 |       -27.435116       | 2 | (0 , 1) | (6.572915 , 33.662215) | -0.004029 | (6.572915 , 33.658186) |
|  65 | (6.572915 , 33.658186) | 1 | (1 , 0) | (6.572915 , 33.658186) | -0.000807 | (6.572108 , 33.658186) |
|  65 |       -27.435234       | 2 | (0 , 1) | (6.572108 , 33.658186) | -0.004029 | (6.572108 , 33.654157) |
|  66 | (6.572108 , 33.654157) | 1 | (1 , 0) | (6.572108 , 33.654157) | -0.000807 | (6.571300 , 33.654157) |
|  66 |       -27.435351       | 2 | (0 , 1) | (6.571300 , 33.654157) | -0.004029 | (6.571300 , 33.650127) |
|  67 | (6.571300 , 33.650127) | 1 | (1 , 0) | (6.571300 , 33.650127) | -0.000807 | (6.570493 , 33.650127) |
|  67 |       -27.435467       | 2 | (0 , 1) | (6.570493 , 33.650127) | -0.004029 | (6.570493 , 33.646098) |
|  68 | (6.570493 , 33.646098) | 1 | (1 , 0) | (6.570493 , 33.646098) | -0.000807 | (6.569686 , 33.646098) |
|  68 |       -27.435582       | 2 | (0 , 1) | (6.569686 , 33.646098) | -0.004029 | (6.569686 , 33.642069) |
|  69 | (6.569686 , 33.642069) | 1 | (1 , 0) | (6.569686 , 33.642069) | -0.000807 | (6.568878 , 33.642069) |
|  69 |       -27.435695       | 2 | (0 , 1) | (6.568878 , 33.642069) | -0.004029 | (6.568878 , 33.638039) |
|  70 | (6.568878 , 33.638039) | 1 | (1 , 0) | (6.568878 , 33.638039) | -0.000807 | (6.568071 , 33.638039) |
|  70 |       -27.435807       | 2 | (0 , 1) | (6.568071 , 33.638039) | -0.004029 | (6.568071 , 33.634010) |
|  71 | (6.568071 , 33.634010) | 1 | (1 , 0) | (6.568071 , 33.634010) | -0.000807 | (6.567263 , 33.634010) |
|  71 |       -27.435917       | 2 | (0 , 1) | (6.567263 , 33.634010) | -0.004029 | (6.567263 , 33.629981) |
|  72 | (6.567263 , 33.629981) | 1 | (1 , 0) | (6.567263 , 33.629981) | -0.000807 | (6.566456 , 33.629981) |
|  72 |       -27.436026       | 2 | (0 , 1) | (6.566456 , 33.629981) | -0.004029 | (6.566456 , 33.625951) |
|  73 | (6.566456 , 33.625951) | 1 | (1 , 0) | (6.566456 , 33.625951) | -0.000807 | (6.565648 , 33.625951) |
|  73 |       -27.436134       | 2 | (0 , 1) | (6.565648 , 33.625951) | -0.004029 | (6.565648 , 33.621922) |
|  74 | (6.565648 , 33.621922) | 1 | (1 , 0) | (6.565648 , 33.621922) | -0.000807 | (6.564841 , 33.621922) |
|  74 |       -27.436241       | 2 | (0 , 1) | (6.564841 , 33.621922) | -0.004029 | (6.564841 , 33.617893) |
|  75 | (6.564841 , 33.617893) | 1 | (1 , 0) | (6.564841 , 33.617893) | -0.000807 | (6.564033 , 33.617893) |
|  75 |       -27.436346       | 2 | (0 , 1) | (6.564033 , 33.617893) | -0.004029 | (6.564033 , 33.613863) |
|  76 | (6.564033 , 33.613863) | 1 | (1 , 0) | (6.564033 , 33.613863) | -0.000807 | (6.563226 , 33.613863) |
|  76 |       -27.436451       | 2 | (0 , 1) | (6.563226 , 33.613863) | -0.004029 | (6.563226 , 33.609834) |
|  77 | (6.563226 , 33.609834) | 1 | (1 , 0) | (6.563226 , 33.609834) | -0.000807 | (6.562418 , 33.609834) |
|  77 |       -27.436553       | 2 | (0 , 1) | (6.562418 , 33.609834) | -0.004029 | (6.562418 , 33.605805) |
|  78 | (6.562418 , 33.605805) | 1 | (1 , 0) | (6.562418 , 33.605805) | -0.000807 | (6.561611 , 33.605805) |
|  78 |       -27.436655       | 2 | (0 , 1) | (6.561611 , 33.605805) | -0.004029 | (6.561611 , 33.601775) |
|  79 | (6.561611 , 33.601775) | 1 | (1 , 0) | (6.561611 , 33.601775) | -0.000807 | (6.560803 , 33.601775) |
|  79 |       -27.436755       | 2 | (0 , 1) | (6.560803 , 33.601775) | -0.004029 | (6.560803 , 33.597746) |
|  80 | (6.560803 , 33.597746) | 1 | (1 , 0) | (6.560803 , 33.597746) | -0.000807 | (6.559996 , 33.597746) |
|  80 |       -27.436854       | 2 | (0 , 1) | (6.559996 , 33.597746) | -0.004029 | (6.559996 , 33.593716) |
|  81 | (6.559996 , 33.593716) | 1 | (1 , 0) | (6.559996 , 33.593716) | -0.000807 | (6.559189 , 33.593716) |
|  81 |       -27.436951       | 2 | (0 , 1) | (6.559189 , 33.593716) | -0.004029 | (6.559189 , 33.589687) |
|  82 | (6.559189 , 33.589687) | 1 | (1 , 0) | (6.559189 , 33.589687) | -0.000807 | (6.558381 , 33.589687) |
|  82 |       -27.437047       | 2 | (0 , 1) | (6.558381 , 33.589687) | -0.004029 | (6.558381 , 33.585658) |
|  83 | (6.558381 , 33.585658) | 1 | (1 , 0) | (6.558381 , 33.585658) | -0.000807 | (6.557574 , 33.585658) |
|  83 |       -27.437142       | 2 | (0 , 1) | (6.557574 , 33.585658) | -0.004029 | (6.557574 , 33.581628) |
|  84 | (6.557574 , 33.581628) | 1 | (1 , 0) | (6.557574 , 33.581628) | -0.000366 | (6.557208 , 33.581628) |
|  84 |       -27.437236       | 2 | (0 , 1) | (6.557208 , 33.581628) | -0.001682 | (6.557208 , 33.579947) |
|  85 | (6.557208 , 33.579947) | 1 | (1 , 0) | (6.557208 , 33.579947) | -0.000366 | (6.556842 , 33.579947) |
|  85 |       -27.437278       | 2 | (0 , 1) | (6.556842 , 33.579947) | -0.002122 | (6.556842 , 33.577824) |
|  86 | (6.556842 , 33.577824) | 1 | (1 , 0) | (6.556842 , 33.577824) | -0.000807 | (6.556035 , 33.577824) |
|  86 |       -27.437320       | 2 | (0 , 1) | (6.556035 , 33.577824) | -0.004029 | (6.556035 , 33.573795) |
|  87 | (6.556035 , 33.573795) | 1 | (1 , 0) | (6.556035 , 33.573795) | -0.000807 | (6.555227 , 33.573795) |
|  87 |       -27.437411       | 2 | (0 , 1) | (6.555227 , 33.573795) | -0.004029 | (6.555227 , 33.569766) |
|  88 | (6.555227 , 33.569766) | 1 | (1 , 0) | (6.555227 , 33.569766) | -0.000366 | (6.554862 , 33.569766) |
|  88 |       -27.437501       | 2 | (0 , 1) | (6.554862 , 33.569766) | -0.001682 | (6.554862 , 33.568084) |
|  89 | (6.554862 , 33.568084) | 1 | (1 , 0) | (6.554862 , 33.568084) | -0.000366 | (6.554496 , 33.568084) |
|  89 |       -27.437541       | 2 | (0 , 1) | (6.554496 , 33.568084) | -0.001682 | (6.554496 , 33.566402) |
|  90 | (6.554496 , 33.566402) | 1 | (1 , 0) | (6.554496 , 33.566402) | -0.000366 | (6.554130 , 33.566402) |
|  90 |       -27.437581       | 2 | (0 , 1) | (6.554130 , 33.566402) | -0.002122 | (6.554130 , 33.564280) |
|  91 | (6.554130 , 33.564280) | 1 | (1 , 0) | (6.554130 , 33.564280) | -0.000366 | (6.553765 , 33.564280) |
|  91 |       -27.437621       | 2 | (0 , 1) | (6.553765 , 33.564280) | -0.001682 | (6.553765 , 33.562598) |
|  92 | (6.553765 , 33.562598) | 1 | (1 , 0) | (6.553765 , 33.562598) | -0.000366 | (6.553399 , 33.562598) |
|  92 |       -27.437660       | 2 | (0 , 1) | (6.553399 , 33.562598) | -0.001682 | (6.553399 , 33.560916) |
|  93 | (6.553399 , 33.560916) | 1 | (1 , 0) | (6.553399 , 33.560916) | -0.000366 | (6.553033 , 33.560916) |
|  93 |       -27.437699       | 2 | (0 , 1) | (6.553033 , 33.560916) | -0.002122 | (6.553033 , 33.558794) |
|  94 | (6.553033 , 33.558794) | 1 | (1 , 0) | (6.553033 , 33.558794) | -0.000366 | (6.552668 , 33.558794) |
|  94 |       -27.437738       | 2 | (0 , 1) | (6.552668 , 33.558794) | -0.001682 | (6.552668 , 33.557112) |
|  95 | (6.552668 , 33.557112) | 1 | (1 , 0) | (6.552668 , 33.557112) | -0.000366 | (6.552302 , 33.557112) |
|  95 |       -27.437777       | 2 | (0 , 1) | (6.552302 , 33.557112) | -0.001682 | (6.552302 , 33.555431) |
|  96 | (6.552302 , 33.555431) | 1 | (1 , 0) | (6.552302 , 33.555431) | -0.000366 | (6.551936 , 33.555431) |
|  96 |       -27.437815       | 2 | (0 , 1) | (6.551936 , 33.555431) | -0.002122 | (6.551936 , 33.553308) |
|  97 | (6.551936 , 33.553308) | 1 | (1 , 0) | (6.551936 , 33.553308) | -0.000366 | (6.551571 , 33.553308) |
|  97 |       -27.437853       | 2 | (0 , 1) | (6.551571 , 33.553308) | -0.001682 | (6.551571 , 33.551627) |
|  98 | (6.551571 , 33.551627) | 1 | (1 , 0) | (6.551571 , 33.551627) | -0.000366 | (6.551205 , 33.551627) |
|  98 |       -27.437891       | 2 | (0 , 1) | (6.551205 , 33.551627) | -0.001682 | (6.551205 , 33.549945) |
|  99 | (6.551205 , 33.549945) | 1 | (1 , 0) | (6.551205 , 33.549945) | -0.000366 | (6.550839 , 33.549945) |
|  99 |       -27.437929       | 2 | (0 , 1) | (6.550839 , 33.549945) | -0.002122 | (6.550839 , 33.547823) |
| 100 | (6.550839 , 33.547823) | 1 | (1 , 0) | (6.550839 , 33.547823) | -0.000366 | (6.550474 , 33.547823) |
| 100 |       -27.437966       | 2 | (0 , 1) | (6.550474 , 33.547823) | -0.001682 | (6.550474 , 33.546141) |
| 101 | (6.550474 , 33.546141) | 1 | (1 , 0) | (6.550474 , 33.546141) | -0.000366 | (6.550108 , 33.546141) |
| 101 |       -27.438003       | 2 | (0 , 1) | (6.550108 , 33.546141) | -0.001682 | (6.550108 , 33.544459) |
| 102 | (6.550108 , 33.544459) | 1 | (1 , 0) | (6.550108 , 33.544459) | -0.000366 | (6.549743 , 33.544459) |
| 102 |       -27.438040       | 2 | (0 , 1) | (6.549743 , 33.544459) | -0.002122 | (6.549743 , 33.542337) |
| 103 | (6.549743 , 33.542337) | 1 | (1 , 0) | (6.549743 , 33.542337) | -0.000366 | (6.549377 , 33.542337) |
| 103 |       -27.438076       | 2 | (0 , 1) | (6.549377 , 33.542337) | -0.001682 | (6.549377 , 33.540655) |
| 104 | (6.549377 , 33.540655) | 1 | (1 , 0) | (6.549377 , 33.540655) | -0.000366 | (6.549011 , 33.540655) |
| 104 |       -27.438113       | 2 | (0 , 1) | (6.549011 , 33.540655) | -0.001682 | (6.549011 , 33.538973) |
| 105 | (6.549011 , 33.538973) | 1 | (1 , 0) | (6.549011 , 33.538973) | -0.000366 | (6.548646 , 33.538973) |
